time,ballDis,ballDir,goalDis,goalDir,goalSide,teammateOneDis,teammateOneDir,teammateTwoDis,teammateTwoDir,teammateThreeDis,teammateThreeDir,teammateFourDis,teammateFourDir,opponentOneDis,opponentOneDir,opponentTwoDis,opponentTwoDir,opponentThreeDis,opponentThreeDir,opponentFourDis,opponentFourDir,opponentFiveDis,opponentFiveDir,ActionType,ActionPower,ActionAngle
0,36.6,32,87.4,13,1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,turn,,32
0,36.6,-2,87.4,-20,1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,turn,,-2
0,36.6,0,87.4,-18,1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,dash,100,
0,36.6,0,87.4,-18,1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,dash,95,
0,36.6,0,87.4,-18,1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,dash,90,
0,36.6,0,87.4,-18,1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,dash,85,
0,36.6,0,87.4,-18,1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,dash,80,
0,36.6,0,87.4,-18,1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,dash,75,
0,36.6,0,87.4,-18,1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,dash,70,
0,36.6,0,87.4,-18,1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,dash,65,
0,36.6,0,87.4,-18,1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,dash,60,
0,36.6,0,87.4,-18,1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,dash,55,
0,36.6,0,87.4,-18,1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,dash,50,
0,36.6,0,87.4,-18,1,54.6,28,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,dash,45,
0,36.6,0,87.4,-18,1,54.6,28,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,dash,40,
0,36.6,0,87.4,-18,1,54.6,28,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,dash,35,
0,36.6,0,87.4,-18,1,54.6,28,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,dash,30,
0,36.6,0,87.4,-18,1,54.6,28,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,dash,25,
0,36.6,0,87.4,-18,1,54.6,28,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,dash,20,
0,36.6,0,87.4,-18,1,999,999,999,999,999,999,999,999,54.6,28,999,999,999,999,999,999,999,999,dash,15,
0,36.6,0,87.4,-18,1,999,999,999,999,999,999,999,999,54.6,28,999,999,999,999,999,999,999,999,dash,10,
0,36.6,0,87.4,-18,1,999,999,999,999,999,999,999,999,54.6,28,999,999,999,999,999,999,999,999,dash,5,
0,36.6,0,87.4,-18,1,999,999,999,999,999,999,999,999,54.6,28,999,999,999,999,999,999,999,999,dash,0,
0,36.6,0,87.4,-18,1,999,999,999,999,999,999,999,999,54.6,28,999,999,999,999,999,999,999,999,dash,-5,
0,36.6,0,87.4,-18,1,54.6,28,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,dash,-10,
0,36.6,0,87.4,-18,1,999,999,999,999,999,999,999,999,54.6,28,999,999,999,999,999,999,999,999,dash,-15,
0,36.6,0,87.4,-18,1,999,999,999,999,999,999,999,999,54.6,28,999,999,999,999,999,999,999,999,dash,-20,
0,36.6,0,87.4,-18,1,999,999,999,999,999,999,999,999,54.6,28,999,999,999,999,999,999,999,999,dash,100,
0,36.6,0,87.4,-18,1,999,999,999,999,999,999,999,999,54.6,28,999,999,999,999,999,999,999,999,dash,95,
