time,ballDis,ballDir,goalDis,goalDir,goalSide,teammateOneDis,teammateOneDir,teammateTwoDis,teammateTwoDir,teammateThreeDis,teammateThreeDir,teammateFourDis,teammateFourDir,opponentOneDis,opponentOneDir,opponentTwoDis,opponentTwoDir,opponentThreeDis,opponentThreeDir,opponentFourDis,opponentFourDir,opponentFiveDis,opponentFiveDir,ActionType,ActionPower,ActionAngle
4065,0.4,-157,999,999,0,0.6,2,999,999,999,999,999,999,0.6,-57,0.7,-118,1.2,-63,999,999,999,999,turn,,40
4071,0.4,125,999,999,0,999,999,999,999,999,999,999,999,0.6,-130,0.7,170,1.2,-140,5,36,999,999,turn,,40
4068,0.4,163,999,999,0,0.6,-35,999,999,999,999,999,999,0.6,-93,0.7,-153,1.2,-102,999,999,999,999,turn,,40
312,0.4,0,999,999,0,0.6,-35,999,999,999,999,999,999,0.6,-93,0.7,-153,1.2,-102,999,999,999,999,turn,,40
1412,0.5,0,999,999,0,0.6,-35,999,999,999,999,999,999,0.6,-93,0.7,-153,1.2,-102,999,999,999,999,turn,,40
412,0.6,0,999,999,0,0.6,-35,999,999,999,999,999,999,0.6,-93,0.7,-153,1.2,-102,999,999,999,999,turn,,40
31,1,0,999,999,0,0.6,-35,999,999,999,999,999,999,0.6,-93,0.7,-153,1.2,-102,999,999,999,999,turn,,40
2022,0.4,155,85.6,-3,1,999,999,999,999,999,999,999,999,0.6,-96,0.7,51,1,144,6,6,6.7,-8,kick,100,-3
3788,0.4,13,84.8,17,1,0.6,-27,1.6,41,2.2,-7,999,999,0.7,33,1.1,-3,1.2,53,1.3,25,1.6,6,kick,100,17
2878,0.4,-123,64.1,-30,0,0.6,20,999,999,999,999,999,999,0.6,-171,0.7,138,999,999,999,999,999,999,turn,,40
2097,0.4,-61,62.8,-38,0,0.8,-6,999,999,999,999,999,999,0.6,-142,0.7,-50,999,999,999,999,999,999,turn,,40
1412,0.4,-114,62.2,7,0,0.6,-42,1.1,-15,999,999,999,999,0.7,-104,999,999,999,999,999,999,999,999,turn,,40
1412,0.4,-114,62.2,7,0,0.6,-42,1.1,-15,999,999,999,999,0.7,-104,999,999,999,999,999,999,999,999,turn,,40
1493,0.4,21,60.3,17,1,0.7,-13,1.1,-41,999,999,999,999,0.6,-76,999,999,999,999,999,999,999,999,kick,100,17
4909,0.4,-152,59.7,1,1,999,999,999,999,999,999,999,999,0.9,140,3,96,8.2,0,10,-2,11,1,kick,100,1
5589,0.4,117,55.1,-13,1,1.3,33,1.6,4,3.3,-2,999,999,0.6,67,10,-9,11,2,999,999,999,999,kick,100,-13
979,0.4,-40,53,19,1,1,-37,999,999,999,999,999,999,0.6,0,0.7,-74,1,-109,1.2,-4,999,999,kick,100,19
187,0.4,141,48.4,-38,0,999,999,999,999,999,999,999,999,0.7,104,1.3,136,1.8,-58,999,999,999,999,turn,,40
1630,0.4,154,47,-10,0,0.6,15,999,999,999,999,999,999,0.8,-175,0.9,146,999,999,999,999,999,999,turn,,40
1630,0.4,154,47,-10,0,0.6,15,999,999,999,999,999,999,0.8,-175,0.9,146,999,999,999,999,999,999,turn,,40
1226,0.4,-29,46.1,9,0,0.8,-6,999,999,999,999,999,999,0.7,-52,1.1,-84,999,999,999,999,999,999,turn,,40
4752,0.4,-49,34.1,3,1,0.7,-16,999,999,999,999,999,999,0.7,32,0.8,-149,1.1,55,1.2,-42,1.3,-7,kick,100,3
4752,0.4,46,34.1,-11,1,0.8,16,999,999,999,999,999,999,0.6,-75,0.7,80,0.8,-27,1.1,48,1.3,3,kick,100,-11
5038,0.4,-122,28.8,7,1,0.6,1,1,-29,1.2,36,1.8,2,1.2,8,1.6,-22,2.2,6,2.7,-1,999,999,kick,100,7
5053,0.4,-120,28.8,11,1,0.6,-9,1,35,1.1,-36,1.8,1,1.2,4,1.6,-25,2,-14,2.2,10,2.7,-3,kick,100,11
5050,0.4,-112,28.8,11,1,0.6,-7,1.1,35,1.8,1,999,999,1.2,5,1.6,-23,2,-13,2.2,9,3,-2,kick,100,11
5044,0.4,-99,28.8,7,1,0.6,-7,1.1,-33,1.2,33,1.8,-1,1.2,4,1.6,-24,2.2,6,3,-4,999,999,kick,100,7
